Opportunity Id,Account,Opp Name,Account Owner,Old Use_case__c,Proposed Use_case__c (Claude),Confidence,Needs Review,Rationale,Final Use Case Type (human),Litmus Test,Evidence,Tier,EAR,Revised Use Case Type (Pass 2),Pass 2 Notes

0065f00000Dnj6wAAB,Stripe,Stripe-Transfer Application-12/2022,Conrad Vogel,Business Transactions,Payment Processing & Settlement,High,FALSE,Opp details describe a money-movement/transfer product.,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","details ""Money Movement/transfer app""",1,2148999.96,,

0065f00000AvRHQAA3,Coinbase,Coinbase - Migrate self hosted clusters,Collin Cook,Business Transactions,Payment Processing & Settlement,Low,TRUE,MIGRATION deal (consolidate 80+ Temporal namespaces to Cloud) — not one product workload. Best-guess from det...,,"Is the primary outcome ""money moves correctly"" (auth, capture, settlement, reconciliation)?","details ""Payments""; doc ""Migration of 80+ Temporal Instances""; Gong: ""fund mo...",3,1800000,,"Crypto exchange. Deal is migrating 80+ Temporal namespaces to Cloud (decision-7 migration), sp…"

0065f000005i3L8AAI,Snap,Snap - Stories,Conrad Vogel,(blank),Other,Medium,TRUE,"Snapchat Story upload/assembly job: orchestrates a content-enrichment DAG that fans out to Bolt (media transcode) and CUP (content-understanding/ML), then assembles the result into STMS to publish the Story. Delivers an end-user product experience, not pure data movement",,Doesn't cleanly fit any above; needs a free-text description.,"Doc ""Snap Stories – Temporal Design Review"": content-enrichment DAG via Bolt ...",2,1500000,,Snap=social/media. Stories design doc = content-enrichment DAG: media transcode (Bolt) + conte…

006UY00000WNaGTYA1,OpenAI,OpenAI - Throttler,Collin Cook,Other,Control Plane Operations,Medium,TRUE,"Opp's own field calls it a per-user 'throttling control-plane' that shapes/limits how other workloads run (provisions/manages per-user task-queue behavior). It governs the retrieval pipeline rather than being it, so not AI - Processing Pipelines. Generic control mechanism over tenants.",,Are they building/operating a platform control plane that provisions/manages other systems/tenants via APIs and policy?,Use_Case_Details: 'per-user throttling control-plane... limit/shape workload on a user-by-user basis without... a dedicated task queue + worker fleet per user. The mechanism is generic.',1,1440000,,

006UY00000MIylqYAD,Replit,Replit - Replit Agent Workload,Alex Bonakdar,AI/ML Orchestration,AI - Agents,High,FALSE,Doc describes Replit's agentic coding loop: the LLM plans and dynamically spawns tools/sub-agents across multi-step w...,,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","Doc ""Replit Use Case Doc"": ""LLM proposes small workflow of tools/sub agents t...",2,1291608,,

006UY00000JlCagYAF,Anthropic,Anthropic - Compass (Deep Research),Alexia Smith,AI/ML Orchestration,AI - Agents,High,FALSE,Deep Research is an agentic workflow where an LLM plans and iterates searches across multiple steps.,,"Does an LLM decide what to do next (plan, choose tools/steps) across a multi-step workflow?","Name ""Compass (Deep Research)"" + details ""Deep research""",1,1200000,,

0065f00000IUwGHAA1,Rippling,Rippling - ETA Modernization - Migration,Tom Kadlick,Business Transactions,Other,Low,TRUE,"Opp + doc describe a generic, domain-agnostic async-task/workflow engine (ETA) backing ALL of Rippling's async tasks ...",,Doesn't cleanly fit any above; needs a free-text description.,"details ""backend ETA for all of Rippling's asynchronous tasks""; doc ""central ...",2,1121040,,Rippling = HR/IT SaaS. ETA = generic async-task engine backing ALL async tasks across heteroge…

006UY00000WTN5FYAX,OpenAI,OpenAI - Integrity,Collin Cook,Workflows,AI - Processing Pipelines,High,FALSE,Doc: every image submitted to ChatGPT runs through a fixed sequence of safety/content scans (moderation/classificatio...,,"Is it a fixed pipeline running data through AI models (RAG, doc/media processing, inference, classification)?","Drive doc ""Temporal Use Case - OpenAI"": ""safety scans... for every image give...",2,840000,,

006UY000008rHpKYAU,Snyk,Snyk - Vulnerability Scanning Workload,Stuart Herd,Business processes,Infrastructure Automation & CI/CD,High,FALSE,Nightly vulnerability scanning of client code (Snyk Code) — operating security software.,,"Is the primary outcome shipping/operating infra or software (deploy, provision, upgrade, rotate, rollback)?","Doc ""Snyk Temporal Use Case Discovery Guide"": ""find vulnerabilities in client...",2,619512,,

006UY000008t3BxYAI,Scale AI,Scale AI - Task Orchestration Engine,Conrad Vogel,Infrastructure applications,Other,Medium,TRUE,"Generic org-wide task-orchestration engine (1.4B actions/mo), the foundational substrate for all of Scale AI's worklo...",,Doesn't cleanly fit any above; needs a free-text description.,"Doc ""Scale AI_Task Pipelines"": ""backbone of its task pipeline... 1.4 billion ...",2,540000,,Scale AI = AI data-infra/annotation co. Workload = org-wide generic task-orchestration engine …

006UY000008UmPCYA0,Airbnb,Airbnb - MarTech - Voyager Event-Triggered Notifications (Abandon Cart),Collin Cook,SMS & Emails,Communications & Marketing Platform,High,FALSE,"Dynamic, event-triggered marketing campaigns delivering notifications via email/SMS/push.",,"Is the primary outcome orchestrating outbound comms/campaigns (email/SMS/push), routing, timing, compliance?","details ""dynamic, user-centric marketing campaigns. Up to 6 months of notific...",1,522720,,

