Use Case,Definition,Example Customers / Patterns,AE Litmus Test (Question to ask yourself),Average Actions per Workflow,Volume proxy,
AI Use Cases,,,,,,
AI – Agents,"Autonomous AI agents that use an LLM to decide what to do next

Eg: multi-step reasoning, tool use, planning, and decision-making with durable state across long-running interactions.

Note:
- Agents can run in an Activity: usually shorter-running, less valuable agent runs. Produces fewer Actions.

- Agents can run in the Workflow: each incremental step of the agent's action is recorded in Temporal Event History. These use a lot of Actions, but are worth if for complex agents that create real economic value.","Codex, Lindy (AI assistants), Anthropic (Agents API), Retool (AI workflows), Gorgias (AI support agents), Dust, Lovable AI, Scale AI","Does an LLM decide what to do next (plan, choose tools/steps), across a multi-step workflow?",30,User interactions or API calls per month triggering an agentic loop,
AI – Internal Agent Platforms,Internal platform teams building centralized agent infrastructure to enable the rest of the org to build agents across the enterprise ,"Block/K-Goose (agentic platform), Stripe, Coupang, enterprise platform teams",Are they building a platform for many Agents that other internal teams can plug in to?,25,Active agent instances managed,
AI – Processing Pipelines,"Fixed, code-defined pipelines that support or serve AI inference. 

A few types:

- AI Workflows: content or media generation, deep research (fan out/ fan in)

- Context prep: document processing (eg, parsing end-user-uploaded PDFs), temp file management, preparing and refreshing a corpus of knowledge an AI system will access at query/inference-time

- Retrieval: search and surfacing of information in a corpus (eg, using the parsed data from end-user-uploaded PDFs to answer a specific query)","Harvey (legal doc analysis), EvenUp (demand letters), Juristat (patent processing), Hebbia (document AI), Descript (media transformation), Washington Post (perceptual AI), Netflix Plato (media workflows), Abridge (medical transcription), ZoomInfo (RAG/GenAI summaries), DataStax (durable RAG), Baseten (inference serving), Messari (crypto research AI)","Is the workflow a fixed pipeline that runs data through AI models (RAG, doc/media processing, inference, classification)?",15,AI API calls or batch pipeline runs per month triggering a linear pipeline (embed → retrieve → generate → store),
AI – Model Training,"Training, fine-tuning, and experiment orchestration workflows that update model weights 

Eg: training runs, hyperparameter sweeps, RLVF (Reinforcement Learning with Verifiable Rewards), distributed training coordination, and MLOps pipelines.

RLVF requires a tremendous amount of compute and therefore orchestration goes towards this because it is yielding such powerful model improvements. You define a goal and let the LLM try so solve it billions/ trillions of times","Anthropic (model training), Coupang (ML platform), NVIDIA (training orchestration), Bridgewater (ML workflows)","Is the workflow orchestrating training or fine-tuning that updates model weights (runs, sweeps, RLVF)?",200,Training jobs or experiments per month; blend data pipeline (12 actions/run) for data prep + infra automation (18 actions/run) ,
Core Platform Use Cases,,,,,,
Order Management & Fulfillment,"End-to-end order lifecycle from placement through processing, fulfillment, delivery, and returns orchestration.","Block/Square (order fulfillment), Turo (bookings), DoorDash, FrontRow, Qualtrics, Bestseller",Is the primary outcome “an order gets completed correctly” (placed → processed → fulfilled → delivered/returned)?,15,Orders per month,
Payment Processing & Settlement,"Payment capture, authorization, settlement, reconciliation, and financial transaction orchestration. Includes payment gateway integrations.","Block (payment capture, Bitcoin trading), Vinted, Wise, Stripe, Coinbase, Check (payroll), Mercury, Mollie, Brex, Remitly, Checkout.com","Is the primary outcome “money moves correctly” (auth, capture, settlement, reconciliation), with financial correctness as the core?",20,Payment transactions per month,
Data Pipelines & ETL,"Data ingestion, transformation, loading, synchronization across systems, and batch/streaming data processing workflows.","Noon (Airflow→Temporal), Mediaset (Airflow+EMR→Temporal), Nordstrom (Kafka migration), Instacart (data quality), Neosync","Is the primary outcome moving/transforming data between systems (sync, ingest, transform, load), not delivering a product workflow?",12,Pipeline runs per month (e.g. nightly = 30 runs/pipeline/month),
Infrastructure Automation & CI/CD,"Deployment pipelines, infrastructure provisioning, release automation, configuration management, and platform engineering workflows.","DataDog, Netflix/Spinnaker, Cloudflare, Nutanix, Equinix, HashiCorp, Anthropic (infra/security), Block (deploy platform rebuild), Humana","Is the primary outcome shipping or operating infrastructure/software (deploy, provision, upgrade, rotate, rollback) reliably?

Unsure if the use case might actually be control plane operations? If it’s deploy/provision/upgrade/operate, pick this one",18,"Deployments per month × services in fleet, or incidents per month; engineering proxy: ~3–10 infra workflows per engineer per week in DevOps-heavy orgs",
Customer Onboarding & Identity Verification,"Account creation, KYC/KYB verification, onboarding sequences, identity proofing, compliance reviews, and new-customer activation workflows.","Mollie (onboarding transformation), Crossmint, Checkr, compliance-heavy verticals",Is the primary outcome getting a new customer verified and successfully onboarded (KYC/KYB + activation/provisioning)?,45,New customers or verification cases per month (identity check + document processing + decision + notification),
Entity Lifecycle Management,"Managing the full lifecycle of domain entities 
Eg: subscriptions, accounts, resources, sessions, or any long-lived object with state transitions over time.","Yum! Brands (menu versioning), Vodafone (CPE management), Workday (employee lifecycle), Anthropic (sandboxes lifecycle), Turo, ANZ (mortgage lifecycle)","Is the workflow managing a long-lived “thing” over time (account, subscription, resource, session, case)?",29,"Active entity population (customers, accounts, assets, subscriptions); multiply by interaction rate: ~5 signals + 20 queries + 3 activities + 1 timer per entity per month","Active entity population (customers, accounts, assets, subscriptions); multiply by interaction rate: ~5 signals + 20 queries + 3 activities + 1 timer per entity per month"
Communications & Marketing Platform,"Notification orchestration, campaign management, multi-channel messaging workflows (email, SMS, push), content moderation, and marketing automation.","AirBnb (marketing campaigns), Twilio, Attentive (migration to Temporal Cloud), Goldcast (event orchestration)","Is the primary outcome orchestrating outbound communications or campaigns (email/SMS/push), including routing, timing, and compliance?",15,Emails/SMS/push notifications sent per month (single-recipient model); high-volume orgs: model as batch + child workflows for N recipients per workflow start,
Financial Services & Lending,"Loan origination, underwriting, claims processing, approval workflows, settlement, and financial product workflows beyond simple payments.","ANZ (home loans), Check (payroll), KOHO, Transamerica, Macquarie, Will Bank, Banco Pichincha",Is the primary outcome a financial product workflow beyond payments (loan/underwriting/claims/approvals/settlement) with regulated steps?,45,"Loan applications, underwriting cases, or KYC reviews opened per month",
Control Plane Operations,"Resource provisioning, multi-tenant orchestration, service mesh control, and platform-level operational workflows that manage other systems.","Replit (control plane layer), HashiCorp, Anthropic (Compass), Temporal self-service signup","Are they building or operating a platform control plane that provisions and manages other systems/tenants via APIs and policy?

Unsure if the use case might actually be infra automation & CI/CD? If it’s the platform that provisions/operates everything else, pick this one

(Useful “tell”: if they say “control plane” or “self-service provisioning platform” as the product they’re building.)",22,"Control-plane operations per month (provisioning, config pushes, policy enforcement)",
Inventory & Logistics,"Inventory management, supply chain coordination, warehouse operations, shipping/tracking, and logistics optimization.","Maersk (logistics orchestration), DoorDash, Bestseller, Block (loyalty programs)","Is the primary outcome managing physical inventory or logistics (warehouse, shipping, tracking, supply chain coordination)?",15,Shipments or inventory events per month,
Customer Service & Support,"Ticket routing, case management, support workflow automation, and customer service operations (non-AI)
AI-powered support should use the appropriate AI category.","Support ticket orchestration, case escalation, SLA management","Is the primary outcome running support operations (ticket routing, escalation, SLA workflows) where support is the business process?  ",10,Support tickets or escalations per month,
Other,"Use case does not fit any of the above categories. 
Note: This requires a free-text description so the team can track emerging patterns and decide whether a new category is warranted.",—,"Does it not cleanly fit any of the above, and do we need a free-text description to capture the pattern?",10,,
